name	tier	hash	eye now	eye size vs correct
Gray Tiger Shell	Legendary	1271045312	inside	41%
Graylight Shell	Legendary	2833999148	inside	77%
Heraldic Shell	Legendary	2833999149	inside	77%
Infinite Blue Shell	Legendary	1271045317	inside	37%
Infinite Hand Shell	Legendary	3287805183	inside	47%
Interchange Shell	Legendary	261110022	inside	77%
Iris Map Shell	Legendary	89965905	inside	77%
Iron Companionship Shell	Legendary	3681086673	inside	66%
Jasper Dawn Shell	Legendary	3287805179	inside	47%
Joyous Hunt Shell	Legendary	3287805180	inside	44%
Kabuto Shell	Legendary	1028757557	inside	77%
Kill-Tracker Ghost	Legendary	1843730201	inside	11%
Kitbash Shell	Exotic	443190217	inside	85%
Leonine Shell	Legendary	3681086674	inside	35%
Lilac Bell Shell	Legendary	2371653985	inside	77%
Lotus Shell	Legendary	261110028	inside	77%
Lustrous Onyx Shell	Legendary	4214004318	inside	77%
Maelstrom's Auge Shell	Legendary	1028757556	inside	77%
Mansanas Shell	Legendary	1625672313	inside	37%
Millennial Spadework Shell	Legendary	1827800764	inside	58%
Moonshot Shell	Legendary	1272828316	inside	77%
Nine Lives Shell	Exotic	1833569876	inside	55%
Number Two Shell	Legendary	2833999136	inside	77%
Open Orchid Shell	Legendary	631626583	inside	58%
Orcasong Shell	Legendary	631626576	inside	37%
Palm of Gold Shell	Legendary	1748063012	inside	47%
Pintail Shell	Legendary	89965904	inside	77%
Polestar I Shell	Legendary	2995501285	inside	47%
Polestar II Shell	Legendary	2995501286	inside	41%
Polished Rain Shell	Legendary	620433937	inside	37%
Pomegranate Shell	Legendary	3287805177	inside	37%
Propulsive Heart Shell	Legendary	263371514	inside	44%
Radiant Sunflake Shell	Legendary	263371519	inside	44%
Revelry Masquerade Shell	Legendary	2179603798	inside	37%
Rigg's Vortex Shell	Legendary	4283023981	inside	77%
Riveted Majesty Shell	Legendary	631626582	inside	75%
Rust Punk Shell	Exotic	227918506	inside	71%
Sanctum Plate Shell	Exotic	227918505	inside	41%
Shaded Shell	Exotic	537036425	inside	60%
Shadow of Earth Shell	Legendary	947448544	inside	77%
Shining Shield Shell	Legendary	620433938	inside	47%
Shrinking Iris Shell	Legendary	620433936	inside	44%
Sibyl Shell	Legendary	1028757555	inside	47%
Sivian Nextor Shell	Legendary	1887457788	inside	44%
Skewed Orbit Shell	Legendary	374922804	inside	95%
Speckled Giallo Shell	Legendary	631626580	inside	58%
Spectral Circuit Shell	Legendary	374922810	inside	95%
Star Map Shell	Exotic	1558857470	inside	47%
Starlight Shell	Legendary	813936739	inside	32%
Stonecraft's Amalgam Shell	Exotic	1833569879	inside	24%
Sunseeker Shell	Legendary	1028757567	inside	47%
Sunshot Shell	Exotic	527607308	inside	37%
Sweet Memories Shell	Legendary	3287805181	inside	41%
Symphonic Shell	Legendary	1271045322	inside	58%
The Lycan's Mire Shell	Legendary	4283023978	inside	77%
The Right Choice	Legendary	3867275449	inside	43%
Tirastrella Shell	Legendary	263371518	inside	58%
Transhedron Shell	Legendary	1028757553	inside	96%
Trichromatica	Exotic	953357968	inside	32%
Triumphal Shell	Legendary	1271045318	inside	44%
True Conifer Shell	Legendary	263371515	inside	37%
True North Shell	Exotic	4031340274	inside	37%
Unearthly Koi Shell	Legendary	1271045314	inside	47%
Upward Climber Shell	Legendary	89965907	inside	77%
Vertical Shell	Legendary	277887718	inside	77%
Viceroy Shell	Legendary	89965906	inside	77%
Waiting Cask Shell	Legendary	1748063015	inside	41%
Warlock Shell	Legendary	261110030	inside	77%
Wars to Come Shell	Legendary	3681086675	inside	82%
Wild Hunt Shell	Legendary	3287805174	inside	58%
Winter Lotus Shell	Exotic	2549404869	inside	47%
Wish-Maker Shell	Legendary	3862768196	inside	36%
Wisteria Orbit Shell	Legendary	2793382470	inside	95%
